id,course,slide,image_index,title,record_type,image_path,year_creation,period_creation,author,production_place,region,style,material,historical_background_zh,historical_background_en,historical_background_sources,study_description,raw_slide_text
africa-s011-i01,Arts of Africa (Met Visit),11,1,"El Anatsui, Old Man’s Cloth",artwork,assets/africa/s011_i01.jpeg,2003,21st century (c. 2003),El Anatsui,Sub-Saharan Africa,Sub-Saharan Africa,African Art,"Aluminum, Copper wire, Copper, Cloth/Textile",常与非洲语境中的仪式权力、宫廷文化、社会记忆，以及后期博物馆收藏史相关。 风格语境：African Art。 地域语境：Sub-Saharan Africa。,"Often linked to ritual authority, court culture, social memory, and later museum collection histories in African contexts. Style context: African Art. Regional context: Sub-Saharan Africa.",,"材质：Aluminum, Copper wire, Copper, Cloth/Textile。时期：21st century (c. 2003)。历史背景：常与非洲语境中的仪式权力、宫廷文化、社会记忆，以及后期博物馆收藏史相关。 风格语境：African Art。 地域语境：Sub-Saharan Africa。
Material: Aluminum, Copper wire, Copper, Cloth/Textile. Period: 21st century (c. 2003). Historical background: Often linked to ritual authority, court culture, social memory, and later museum collection histories in African contexts. Style context: African Art. Regional context: Sub-Saharan Africa.","El Anatsui, Old Man’s Cloth, 2003, aluminum and copper wire, 16' x 17' 1"" / 487.7 x 520.7 cm"
africa-s012-i01,Arts of Africa (Met Visit),12,1,Tusk with Figurative Relief with details at right,artwork,assets/africa/s012_i01.jpeg,1880-1890,19th century (c. 1880-1890),Kongo artist,Democratic Republic of the Congo / Republic of the Congo / Angola,Africa,African Art,Ivory,根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。,"Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.",,"材质：Ivory。时期：19th century (c. 1880-1890)。历史背景：根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。
Material: Ivory. Period: 19th century (c. 1880-1890). Historical background: Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.","Tusk with Figurative Relief with details at right Ca. 1880–90 Kongo artist, Vili group; Democratic Republic of the Congo, Republic of the Congo, or Cabinda, Angola, Loango coast Ivory, H. 32 in. (81.3 cm) Collection of Drs. Daniel and Marian Malcolm, Tenafly, New Jersey"
africa-s012-i02,Arts of Africa (Met Visit),12,2,Tusk with Figurative Relief with details at right,artwork,assets/africa/s012_i02.jpeg,1880-1890,19th century (c. 1880-1890),Kongo artist,Democratic Republic of the Congo / Republic of the Congo / Angola,Africa,African Art,Ivory,根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。,"Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.",,"材质：Ivory。时期：19th century (c. 1880-1890)。历史背景：根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。
Material: Ivory. Period: 19th century (c. 1880-1890). Historical background: Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.","Tusk with Figurative Relief with details at right Ca. 1880–90 Kongo artist, Vili group; Democratic Republic of the Congo, Republic of the Congo, or Cabinda, Angola, Loango coast Ivory, H. 32 in. (81.3 cm) Collection of Drs. Daniel and Marian Malcolm, Tenafly, New Jersey"
africa-s012-i03,Arts of Africa (Met Visit),12,3,Tusk with Figurative Relief with details at right,artwork,assets/africa/s012_i03.png,1880-1890,19th century (c. 1880-1890),Kongo artist,Democratic Republic of the Congo / Republic of the Congo / Angola,Africa,African Art,Ivory,根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。,"Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.",,"材质：Ivory。时期：19th century (c. 1880-1890)。历史背景：根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。
Material: Ivory. Period: 19th century (c. 1880-1890). Historical background: Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.","Tusk with Figurative Relief with details at right Ca. 1880–90 Kongo artist, Vili group; Democratic Republic of the Congo, Republic of the Congo, or Cabinda, Angola, Loango coast Ivory, H. 32 in. (81.3 cm) Collection of Drs. Daniel and Marian Malcolm, Tenafly, New Jersey"
africa-s013-i01,Arts of Africa (Met Visit),13,1,Portuguese Figures,artwork,assets/africa/s013_i01.jpeg,1991,15th-16th century,Nigeria artist,Nigeria,Africa,African Art,Ivory,根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。,"Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.",,"材质：Ivory。时期：15th-16th century。历史背景：根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。
Material: Ivory. Period: 15th-16th century. Historical background: Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.","Lidded Saltcellar 15th–16th century Sapi -Portuguese; Sierra Leone Ivory, H. 11 3/4 x Diam. 4 1/4 in. (29.8 x 10.8 cm) MMA, Gift of Paul and Ruth W. Tishman, 1991 (1991.435a, b) Saltcellar: Portuguese Figures Ca. 1525–1600 Edo (Bini-Portuguese); Nigeria Ivory, H. 7.5 x W. 3 in. (19.1 x 7.6 cm) MMA, Louis V. Bell and Rogers Fund, 1972 (1972.63a, b)"
africa-s013-i02,Arts of Africa (Met Visit),13,2,Portuguese Figures,artwork,assets/africa/s013_i02.jpeg,1991,15th-16th century,Nigeria artist,Nigeria,Africa,African Art,Ivory,根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。,"Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.",,"材质：Ivory。时期：15th-16th century。历史背景：根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。
Material: Ivory. Period: 15th-16th century. Historical background: Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.","Lidded Saltcellar 15th–16th century Sapi -Portuguese; Sierra Leone Ivory, H. 11 3/4 x Diam. 4 1/4 in. (29.8 x 10.8 cm) MMA, Gift of Paul and Ruth W. Tishman, 1991 (1991.435a, b) Saltcellar: Portuguese Figures Ca. 1525–1600 Edo (Bini-Portuguese); Nigeria Ivory, H. 7.5 x W. 3 in. (19.1 x 7.6 cm) MMA, Louis V. Bell and Rogers Fund, 1972 (1972.63a, b)"
africa-s014-i01,Arts of Africa (Met Visit),14,1,"Coldstream Stone Ca. 9,000 B.P . Southern Cape, South Africa Quartzite, natural ochres Iziko South African Museum, Cape ",reference,assets/africa/s014_i01.jpeg,1907,20th century (c. 1907),Africa artist,Africa,Africa,African Art,Oil on canvas,常与非洲语境中的仪式权力、宫廷文化、社会记忆，以及后期博物馆收藏史相关。 风格语境：African Art。 地域语境：Africa。,"Often linked to ritual authority, court culture, social memory, and later museum collection histories in African contexts. Style context: African Art. Regional context: Africa.",,"材质：Oil on canvas。时期：20th century (c. 1907)。历史背景：常与非洲语境中的仪式权力、宫廷文化、社会记忆，以及后期博物馆收藏史相关。 风格语境：African Art。 地域语境：Africa。
Material: Oil on canvas. Period: 20th century (c. 1907). Historical background: Often linked to ritual authority, court culture, social memory, and later museum collection histories in African contexts. Style context: African Art. Regional context: Africa.","Coldstream Stone Ca. 9,000 B.P . Southern Cape, South Africa Quartzite, natural ochres Iziko South African Museum, Cape Town NOT REQUIRED Pablo Picasso (Spanish, 1881–1973) Les Demoiselles d'Avignon , June-July 1907 Oil on canvas, 8' x 7' 8"" (243.9 x 233.7 cm) MoMA, Acquired through the Lillie P. Bliss Bequest (333.1939) FOR CONTEXT – will be discussed in class"
africa-s014-i02,Arts of Africa (Met Visit),14,2,"Coldstream Stone Ca. 9,000 B.P . Southern Cape, South Africa Quartzite, natural ochres Iziko South African Museum, Cape ",reference,assets/africa/s014_i02.jpeg,1907,20th century (c. 1907),Africa artist,Africa,Africa,African Art,Oil on canvas,常与非洲语境中的仪式权力、宫廷文化、社会记忆，以及后期博物馆收藏史相关。 风格语境：African Art。 地域语境：Africa。,"Often linked to ritual authority, court culture, social memory, and later museum collection histories in African contexts. Style context: African Art. Regional context: Africa.",,"材质：Oil on canvas。时期：20th century (c. 1907)。历史背景：常与非洲语境中的仪式权力、宫廷文化、社会记忆，以及后期博物馆收藏史相关。 风格语境：African Art。 地域语境：Africa。
Material: Oil on canvas. Period: 20th century (c. 1907). Historical background: Often linked to ritual authority, court culture, social memory, and later museum collection histories in African contexts. Style context: African Art. Regional context: Africa.","Coldstream Stone Ca. 9,000 B.P . Southern Cape, South Africa Quartzite, natural ochres Iziko South African Museum, Cape Town NOT REQUIRED Pablo Picasso (Spanish, 1881–1973) Les Demoiselles d'Avignon , June-July 1907 Oil on canvas, 8' x 7' 8"" (243.9 x 233.7 cm) MoMA, Acquired through the Lillie P. Bliss Bequest (333.1939) FOR CONTEXT – will be discussed in class"
africa-s015-i01,Arts of Africa (Met Visit),15,1,"Interior of André Derain’s studio, Paris",artwork,assets/africa/s015_i01.jpeg,1912-1913,20th century (c. 1912-1913),Paris artist,Paris,France,African Art,Oil on canvas,常与非洲语境中的仪式权力、宫廷文化、社会记忆，以及后期博物馆收藏史相关。 风格语境：African Art。 地域语境：France。,"Often linked to ritual authority, court culture, social memory, and later museum collection histories in African contexts. Style context: African Art. Regional context: France.",,"材质：Oil on canvas。时期：20th century (c. 1912-1913)。历史背景：常与非洲语境中的仪式权力、宫廷文化、社会记忆，以及后期博物馆收藏史相关。 风格语境：African Art。 地域语境：France。
Material: Oil on canvas. Period: 20th century (c. 1912-1913). Historical background: Often linked to ritual authority, court culture, social memory, and later museum collection histories in African contexts. Style context: African Art. Regional context: France.","Above: Interior of André Derain’s studio, Paris, ca. 1912-13. Archives Genevieve Taillade, Paris. Pablo Picasso (Spanish, 1881–1973) Les Demoiselles d'Avignon , June-July 1907 Oil on canvas, 8' x 7' 8"" (243.9 x 233.7 cm) MoMA, Acquired through the Lillie P. Bliss Bequest (333.1939)"
africa-s015-i02,Arts of Africa (Met Visit),15,2,"Interior of André Derain’s studio, Paris",artwork,assets/africa/s014_i02.jpeg,1912-1913,20th century (c. 1912-1913),Paris artist,Paris,France,African Art,Oil on canvas,常与非洲语境中的仪式权力、宫廷文化、社会记忆，以及后期博物馆收藏史相关。 风格语境：African Art。 地域语境：France。,"Often linked to ritual authority, court culture, social memory, and later museum collection histories in African contexts. Style context: African Art. Regional context: France.",,"材质：Oil on canvas。时期：20th century (c. 1912-1913)。历史背景：常与非洲语境中的仪式权力、宫廷文化、社会记忆，以及后期博物馆收藏史相关。 风格语境：African Art。 地域语境：France。
Material: Oil on canvas. Period: 20th century (c. 1912-1913). Historical background: Often linked to ritual authority, court culture, social memory, and later museum collection histories in African contexts. Style context: African Art. Regional context: France.","Above: Interior of André Derain’s studio, Paris, ca. 1912-13. Archives Genevieve Taillade, Paris. Pablo Picasso (Spanish, 1881–1973) Les Demoiselles d'Avignon , June-July 1907 Oil on canvas, 8' x 7' 8"" (243.9 x 233.7 cm) MoMA, Acquired through the Lillie P. Bliss Bequest (333.1939)"
africa-s016-i01,Arts of Africa (Met Visit),16,1,"Ceremonial Skirt ( Ntchak ) Kuba artist, Bushoong group; Democratic Republic of the Congo, Kasai River region Late",artwork,assets/africa/s016_i01.jpeg,2004,Late 19th century,Kuba artist,Democratic Republic of the Congo / Republic of the Congo / France,Africa / France,African Art,Not stated in source slide.,常与非洲语境中的仪式权力、宫廷文化、社会记忆，以及后期博物馆收藏史相关。 风格语境：African Art。 地域语境：Africa / France。,"Often linked to ritual authority, court culture, social memory, and later museum collection histories in African contexts. Style context: African Art. Regional context: Africa / France.",,"材质：Not stated in source slide.。时期：Late 19th century。历史背景：常与非洲语境中的仪式权力、宫廷文化、社会记忆，以及后期博物馆收藏史相关。 风格语境：African Art。 地域语境：Africa / France。
Material: Not stated in source slide.. Period: Late 19th century. Historical background: Often linked to ritual authority, court culture, social memory, and later museum collection histories in African contexts. Style context: African Art. Regional context: Africa / France.","Below: Ceremonial Skirt ( Ntchak ) Kuba artist, Bushoong group; Democratic Republic of the Congo, Kasai River region Late 19th century Raffia palm fiber, natural dyes H. 26 x W. 167 in. (66 x 424.2 cm) MMA, Rogers Fund, 2004 (2004.254) Left: Henri Matisse at home with Kuba textiles, Villa Le Rêve , Vence , France. Photograph by Henri Cartier-Bresson, 1944."
