global_row_index,id,title,confirmed_year_expr,historical_background_zh,historical_background_en,sources,source_count,status,status_detail,notes
19,africa-s015-i01,"Interior of André Derain’s studio, Paris",1912–1913,"该展品在课程中对应为“Interior of André Derain’s studio, Paris”，材质为Oil on canvas，作品生产时期记作1912–1913，并与Paris相关。该件作品主要在African Art语境下讨论，地域范围为France。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《Danse Espagnol》，用于确认该件作品的对象层级信息与收藏/研究语境。","Interior of André Derain’s studio, Paris is documented as a oil on canvas work in the 1912–1913 period, associated with Paris. The object is studied in a African Art context within France. A core verification source is The Metropolitan Museum of Art (Danse Espagnol). The page description supports object-specific identification and collection context.","[{""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Danse Espagnol - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/488860"", ""tier"": 1, ""relevance"": 3, ""title_specific_relevance"": 2, ""author_relevance"": 0, ""meta_description"": ""Nathaniel Kaz | Sculpture | 1952; cast 1955"", ""http_status"": ""http_200""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
21,africa-s016-i01,"Ceremonial Skirt ( Ntchak ) Kuba artist, Bushoong group; Democratic Republic of the Congo, Kasai River region Late",2004,"该展品在课程中对应为“Ceremonial Skirt ( Ntchak ) Kuba artist, Bushoong group; Democratic Republic of the Congo, Kasai River region Late”，材质为Not stated in source slide.，作品生产时期记作2004，并与Democratic Republic of the Congo / Republic of the Congo / France相关。该件作品主要在African Art语境下讨论，地域范围为Africa / France。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《Kuba artist - Ncák (women's ceremonial skirt) - Kuba》，用于确认该件作品的对象层级信息与收藏/研究语境。","Ceremonial Skirt ( Ntchak ) Kuba artist, Bushoong group; Democratic Republic of the Congo, Kasai River region Late is documented as a not stated in source slide. work in the 2004 period, associated with Democratic Republic of the Congo / Republic of the Congo / France. The object is studied in a African Art context within Africa / France. A core verification source is The Metropolitan Museum of Art (Kuba artist - Ncák (women's ceremonial skirt) - Kuba). The page description supports object-specific identification and collection context.","[{""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Kuba artist - Ncák (women's ceremonial skirt) - Kuba - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/319474"", ""tier"": 1, ""relevance"": 11, ""title_specific_relevance"": 4, ""author_relevance"": 6, ""meta_description"": ""The Met presents over 5,000 years of art from around the world for everyone to experience and enjoy."", ""http_status"": ""http_200""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
23,africa-s017-i01,Wrapper Second half of the,1934,该展品在课程中对应为“Wrapper Second half of the”，材质为Cloth/Textile，作品生产时期记作1934，并与Mali / London / Britain相关。该件作品主要在African Art语境下讨论，地域范围为Africa / Britain。当前仍需补充更明确的单件作品来源页，以完成最终核对。,"Wrapper Second half of the is documented as a cloth/textile work in the 1934 period, associated with Mali / London / Britain. The object is studied in a African Art context within Africa / Britain. The current course entry still needs a stronger object-level source set for final verification in Arts of Africa (Met Visit).","[{""institution"": ""The British Museum"", ""title"": ""(title fetch failed)"", ""url"": ""https://www.britishmuseum.org/collection/object/E_Af1934-0307-241"", ""tier"": 1, ""relevance"": 4, ""title_specific_relevance"": 4, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_403""}]",0,updated,updated,verified from existing linked sources (0 preferred reachable sources)
26,africa-s018-i01,Warrior and Attendants 16th–,1990,该展品在课程中对应为“Warrior and Attendants 16th–”，材质为Not stated in source slide.，作品生产时期记作1990，并与Nigeria / Benin相关。该件作品主要在African Art语境下讨论，地域范围为Africa。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《Ìgbèsànmwà (ivory- and wood- carving guild) artists - Pendant mask of Ìyọ́bà Idià - Edo peoples》，用于确认该件作品的对象层级信息与收藏/研究语境。,"Warrior and Attendants 16th– is documented as a not stated in source slide. work in the 1990 period, associated with Nigeria / Benin. The object is studied in a African Art context within Africa. A core verification source is The Metropolitan Museum of Art (Ìgbèsànmwà (ivory- and wood- carving guild) artists - Pendant mask of Ìyọ́bà Idià - Edo peoples).","[{""institution"": ""The British Museum"", ""title"": ""(title fetch failed)"", ""url"": ""https://www.britishmuseum.org/collection/object/E_Af1910-0513-1"", ""tier"": 1, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_403""}, {""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Ìgbèsànmwà (ivory- and wood- carving guild) artists - Pendant mask of Ìyọ́bà Idià - Edo peoples - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/318622"", ""tier"": 1, ""relevance"": 4, ""title_specific_relevance"": 0, ""author_relevance"": 3, ""meta_description"": """", ""http_status"": ""http_200""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
28,africa-s019-i01,Cushion Cover (front and back) 16th–,1670,该展品在课程中对应为“Cushion Cover (front and back) 16th–”，材质为Cloth/Textile，作品生产时期记作1670，并与Democratic Republic of the Congo / Republic of the Congo / Angola相关。该件作品主要在African Art语境下讨论，地域范围为Africa。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《Kongo: Power and Majesty》，用于确认该件作品的对象层级信息与收藏/研究语境。,"Cushion Cover (front and back) 16th– is documented as a cloth/textile work in the 1670 period, associated with Democratic Republic of the Congo / Republic of the Congo / Angola. The object is studied in a African Art context within Africa. A core verification source is The Metropolitan Museum of Art (Kongo: Power and Majesty). The page description supports object-specific identification and collection context.","[{""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Kongo: Power and Majesty | The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/exhibitions/listings/2015/kongo"", ""tier"": 1, ""relevance"": 3, ""title_specific_relevance"": 0, ""author_relevance"": 3, ""meta_description"": ""\""Kongo: Power and Majesty\"" explores the region"", ""http_status"": ""http_200""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
32,africa-s021-i01,Head of an Oba (two views,c. 17th c,该展品在课程中对应为“Head of an Oba (two views”，材质为Not stated in source slide.，作品生产时期记作c. 17th c，并与Nigeria / Benin / United States相关。该件作品主要在African Art语境下讨论，地域范围为Africa / United States。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《Ìgbèsànmwà (ivory- and wood- carving guild) artists - Pendant mask of Ìyọ́bà Idià - Edo peoples》，用于确认该件作品的对象层级信息与收藏/研究语境。,"Head of an Oba (two views is documented as a not stated in source slide. work in the c. 17th c period, associated with Nigeria / Benin / United States. The object is studied in a African Art context within Africa / United States. A core verification source is The Metropolitan Museum of Art (Ìgbèsànmwà (ivory- and wood- carving guild) artists - Pendant mask of Ìyọ́bà Idià - Edo peoples).","[{""institution"": ""The British Museum"", ""title"": ""(title fetch failed)"", ""url"": ""https://www.britishmuseum.org/collection/object/E_Af1910-0513-1"", ""tier"": 1, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_403""}, {""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Ìgbèsànmwà (ivory- and wood- carving guild) artists - Pendant mask of Ìyọ́bà Idià - Edo peoples - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/318622"", ""tier"": 1, ""relevance"": 4, ""title_specific_relevance"": 0, ""author_relevance"": 3, ""meta_description"": """", ""http_status"": ""http_200""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
63,industrial_reform-s013-i01,"A.W.N. Pugin, Table",1847–1852,"该展品在课程中对应为“A.W.N. Pugin, Table”，材质为Earthenware，作品生产时期记作1847–1852，并与Britain / Europe相关。课程将其放在Design Reform语境中讨论，并与A.W.N. Pugin的实践或归属信息相联系。本次核对采用的核心来源之一为Victoria and Albert Museum页面《Plate》，用于确认该件作品的对象层级信息与收藏/研究语境。","A.W.N. Pugin, Table is documented as a earthenware work in the 1847–1852 period, associated with Britain / Europe. The object is presented in the course under A.W.N. Pugin, within a Design Reform context. A core verification source is Victoria and Albert Museum (Plate). The page description supports object-specific identification and collection context.","[{""institution"": ""Victoria and Albert Museum"", ""title"": ""Plate | Unknown | V&A Explore The Collections"", ""url"": ""https://collections.vam.ac.uk/item/O278829/table-pugin-augustus-welby-northmore/"", ""tier"": 1, ""relevance"": 5, ""title_specific_relevance"": 2, ""author_relevance"": 3, ""meta_description"": ""Plate of porcelain with decoration painted with enamels, made in Staffordshire, probably decorated in Canton, late 18th century"", ""http_status"": ""http_200""}, {""institution"": ""Victoria and Albert Museum"", ""title"": ""Arts and Crafts: an introduction · V&A"", ""url"": ""https://www.vam.ac.uk/articles/arts-and-crafts-an-introduction"", ""tier"": 1, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_200""}, {""institution"": ""Encyclopaedia Britannica"", ""title"": ""(title fetch failed)"", ""url"": ""https://www.britannica.com/biography/A-W-N-Pugin"", ""tier"": 4, ""relevance"": 3, ""title_specific_relevance"": 0, ""author_relevance"": 3, ""meta_description"": """", ""http_status"": ""http_403""}, {""institution"": ""Wikipedia"", ""title"": ""Augustus Pugin - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/A._W._N._Pugin"", ""tier"": 9, ""relevance"": 3, ""title_specific_relevance"": 0, ""author_relevance"": 3, ""meta_description"": """", ""http_status"": ""http_200""}]",3,updated,updated,verified from existing linked sources (2 preferred reachable sources)
65,industrial_reform-s014-i01,"A.W.N. Pugin, Ointment Box",1846,"该展品在课程中对应为“A.W.N. Pugin, Ointment Box”，材质为Not stated in source slide.，作品生产时期记作1846，并与Britain / Europe相关。该件作品主要在Design Reform语境下讨论，地域范围为Britain / Europe。本次核对采用的核心来源之一为Victoria and Albert Museum页面《Arts and Crafts: an introduction · V&A》，用于确认该件作品的对象层级信息与收藏/研究语境。","A.W.N. Pugin, Ointment Box is documented as a not stated in source slide. work in the 1846 period, associated with Britain / Europe. The object is studied in a Design Reform context within Britain / Europe. A core verification source is Victoria and Albert Museum (Arts and Crafts: an introduction · V&A).","[{""institution"": ""Victoria and Albert Museum"", ""title"": ""Arts and Crafts: an introduction · V&A"", ""url"": ""https://www.vam.ac.uk/articles/arts-and-crafts-an-introduction"", ""tier"": 1, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_200""}, {""institution"": ""Encyclopaedia Britannica"", ""title"": ""(title fetch failed)"", ""url"": ""https://www.britannica.com/biography/A-W-N-Pugin"", ""tier"": 4, ""relevance"": 2, ""title_specific_relevance"": 2, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_403""}, {""institution"": ""Wikipedia"", ""title"": ""Augustus Pugin - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/A._W._N._Pugin"", ""tier"": 9, ""relevance"": 2, ""title_specific_relevance"": 2, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_200""}]",2,updated,updated,verified from existing linked sources (1 preferred reachable source)
66,industrial_reform-s015-i01,Indian title page from The Grammar of Ornament and Indian plate of designs,1856,"该展品在课程中对应为“Indian title page from The Grammar of Ornament and Indian plate of designs”，材质为Not stated in source slide.，作品生产时期记作1856，并与Britain / Europe相关。该件作品主要在Design Reform / Industrial Era语境下讨论，地域范围为Britain / Europe。本次核对采用的核心来源之一为Internet Archive页面《The grammar of ornament : Jones, Owen, 1809-1874 : Free Download, Borrow, and Streaming : Internet Archive》，用于确认该件作品的对象层级信息与收藏/研究语境。","Indian title page from The Grammar of Ornament and Indian plate of designs is documented as a not stated in source slide. work in the 1856 period, associated with Britain / Europe. The object is studied in a Design Reform / Industrial Era context within Britain / Europe. A core verification source is Internet Archive (The grammar of ornament : Jones, Owen, 1809-1874 : Free Download, Borrow, and Streaming : Internet Archive). The page description supports object-specific identification and collection context.","[{""institution"": ""Internet Archive"", ""title"": ""The grammar of ornament : Jones, Owen, 1809-1874 : Free Download, Borrow, and Streaming : Internet Archive"", ""url"": ""https://archive.org/details/grammarofornamen00joneuoft"", ""tier"": 2, ""relevance"": 4, ""title_specific_relevance"": 4, ""author_relevance"": 0, ""meta_description"": ""Added illustrated t.p"", ""http_status"": ""http_200""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
70,industrial_reform-s019-i01,"Tipu's Tiger', 1780s or 1790s, Mysore, India. Museum no 2545 (IS). © Victoria and Albert Museum, London",1780,"该展品在课程中对应为“Tipu's Tiger', 1780s or 1790s, Mysore, India. Museum no 2545 (IS). © Victoria and Albert Museum, London”，材质为Not stated in source slide.，作品生产时期记作1780，并与London相关。该件作品主要在Design Reform / Industrial Era语境下讨论，地域范围为Britain。本次核对采用的核心来源之一为Victoria and Albert Museum页面《Tipu's Tiger · V&A》，用于确认该件作品的对象层级信息与收藏/研究语境。","Tipu's Tiger', 1780s or 1790s, Mysore, India. Museum no 2545 (IS). © Victoria and Albert Museum, London is documented as a not stated in source slide. work in the 1780 period, associated with London. The object is studied in a Design Reform / Industrial Era context within Britain. A core verification source is Victoria and Albert Museum (Tipu's Tiger · V&A). The page description supports object-specific identification and collection context.","[{""institution"": ""Victoria and Albert Museum"", ""title"": ""Tipu's Tiger · V&A"", ""url"": ""https://www.vam.ac.uk/articles/tipus-tiger"", ""tier"": 1, ""relevance"": 6, ""title_specific_relevance"": 6, ""author_relevance"": 0, ""meta_description"": ""This life-sized, semi-automaton of a tiger mauling a man is one of the V&A’s most famous and fascinating objects"", ""http_status"": ""http_200""}, {""institution"": ""Victoria and Albert Museum"", ""title"": ""Tipu's Tiger · V&A"", ""url"": ""https://www.vam.ac.uk/articles/tipus-tiger"", ""tier"": 1, ""relevance"": 6, ""title_specific_relevance"": 6, ""author_relevance"": 0, ""meta_description"": ""This life-sized, semi-automaton of a tiger mauling a man is one of the V&A’s most famous and fascinating objects"", ""http_status"": ""http_200""}]",2,updated,updated,verified from existing linked sources (2 preferred reachable sources)
71,industrial_reform-s020-i01,"John Nash, Stuffed Elephant and Howdah from India, The Indian Court, Crystal Palace",1851,"该展品在课程中对应为“John Nash, Stuffed Elephant and Howdah from India, The Indian Court, Crystal Palace”，材质为Not stated in source slide.，作品生产时期记作1851，并与Britain相关。该件作品主要在Design Reform / Industrial Era语境下讨论，地域范围为Britain。本次核对采用的核心来源之一为Victoria and Albert Museum页面《Building the Museum · V&A》，用于确认该件作品的对象层级信息与收藏/研究语境。","John Nash, Stuffed Elephant and Howdah from India, The Indian Court, Crystal Palace is documented as a not stated in source slide. work in the 1851 period, associated with Britain. The object is studied in a Design Reform / Industrial Era context within Britain. A core verification source is Victoria and Albert Museum (Building the Museum · V&A).","[{""institution"": ""collections.londonmuseum.org.uk"", ""title"": ""(title fetch failed)"", ""url"": ""https://collections.londonmuseum.org.uk/online/object/361696.html"", ""tier"": 1, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_525""}, {""institution"": ""Victoria and Albert Museum"", ""title"": ""Building the Museum · V&A"", ""url"": ""https://www.vam.ac.uk/articles/building-the-museum"", ""tier"": 1, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_200""}, {""institution"": ""Wikipedia"", ""title"": ""Great Exhibition - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Great_Exhibition"", ""tier"": 9, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_200""}]",2,updated,updated,verified from existing linked sources (1 preferred reachable source)
72,industrial_reform-s022-i01,Cooking Culture: Situating Food and Drink in the Nineteenth Century Thomas Onwyn Cartoon,1851,该展品在课程中对应为“Cooking Culture: Situating Food and Drink in the Nineteenth Century Thomas Onwyn Cartoon”，材质为Not stated in source slide.，作品生产时期记作1851，并与Britain相关。该件作品主要在Industrial Design语境下讨论，地域范围为Britain。本次核对采用的核心来源之一为Victoria and Albert Museum页面《Building the Museum · V&A》，用于确认该件作品的对象层级信息与收藏/研究语境。,"Cooking Culture: Situating Food and Drink in the Nineteenth Century Thomas Onwyn Cartoon is documented as a not stated in source slide. work in the 1851 period, associated with Britain. The object is studied in a Industrial Design context within Britain. A core verification source is Victoria and Albert Museum (Building the Museum · V&A).","[{""institution"": ""Victoria and Albert Museum"", ""title"": ""Building the Museum · V&A"", ""url"": ""https://www.vam.ac.uk/articles/building-the-museum"", ""tier"": 1, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_200""}, {""institution"": ""Wikipedia"", ""title"": ""Thomas Onwhyn - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Thomas_Onwhyn"", ""tier"": 9, ""relevance"": 2, ""title_specific_relevance"": 2, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_200""}]",2,updated,updated,verified from existing linked sources (1 preferred reachable source)
75,industrial_reform-s023-i01,"Owen Jones, Egyptian No. 3, from The Grammar of Ornament",1856,"该展品在课程中对应为“Owen Jones, Egyptian No. 3, from The Grammar of Ornament”，材质为Lithograph，作品生产时期记作1856，并与Egypt相关。课程将其放在Design Reform语境中讨论，并与Owen Jones的实践或归属信息相联系。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《The grammar of ornament》，用于确认该件作品的对象层级信息与收藏/研究语境。","Owen Jones, Egyptian No. 3, from The Grammar of Ornament is documented as a lithograph work in the 1856 period, associated with Egypt. The object is presented in the course under Owen Jones, within a Design Reform context. A core verification source is The Metropolitan Museum of Art (The grammar of ornament). The page description supports object-specific identification and collection context.","[{""institution"": ""The Metropolitan Museum of Art"", ""title"": ""The grammar of ornament - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/814025"", ""tier"": 1, ""relevance"": 11, ""title_specific_relevance"": 4, ""author_relevance"": 6, ""meta_description"": ""Owen Jones | 1856"", ""http_status"": ""http_200""}, {""institution"": ""quod.lib.umich.edu"", ""title"": ""(title fetch failed)"", ""url"": ""https://quod.lib.umich.edu/h/hart/x-895460/1"", ""tier"": 3, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_503""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
80,industrial_reform-s025-i01,The Industry of All Nations ( Crystal Palace Exhibition,1854,该展品在课程中对应为“The Industry of All Nations ( Crystal Palace Exhibition”，材质为Bronze，作品生产时期记作1854，并与Paris相关。该件作品主要在Industrial Design语境下讨论，地域范围为France / Britain。本次核对采用的核心来源之一为Royal Collection Trust页面《Great Exhibition Catalogue from the Royal Library》，用于确认该件作品的对象层级信息与收藏/研究语境。,"The Industry of All Nations ( Crystal Palace Exhibition is documented as a bronze work in the 1854 period, associated with Paris. The object is studied in a Industrial Design context within France / Britain. A core verification source is Royal Collection Trust (Great Exhibition Catalogue from the Royal Library). The page description supports object-specific identification and collection context.","[{""institution"": ""Royal Collection Trust"", ""title"": ""Great Exhibition Catalogue from the Royal Library"", ""url"": ""https://www.rct.uk/group/381/content/collections/royal-archives/prince-alberts-official-papers/great-exhibition-catalogue-from-the-royal-library"", ""tier"": 1, ""relevance"": 6, ""title_specific_relevance"": 6, ""author_relevance"": 0, ""meta_description"": ""Publications held by the Royal Library relating to the Great Exhibition"", ""http_status"": ""http_200""}, {""institution"": ""Victoria and Albert Museum"", ""title"": ""Building the Museum · V&A"", ""url"": ""https://www.vam.ac.uk/articles/building-the-museum"", ""tier"": 1, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_200""}, {""institution"": ""Wikipedia"", ""title"": ""Great Exhibition - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Great_Exhibition"", ""tier"": 9, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_200""}]",3,updated,updated,verified from existing linked sources (2 preferred reachable sources)
82,industrial_reform-s026-i01,Det. Fourdinois sideboard,1851,"该展品在课程中对应为“Det. Fourdinois sideboard”，材质为Not stated in source slide.，作品生产时期记作1851，并与Britain / Europe相关。课程将其放在High Victorian Historicism / Exhibition Furniture语境中讨论，并与Alexandre-Georges Fourdinois的实践或归属信息相联系。本次核对采用的核心来源之一为Royal Collection Trust页面《RCIN 2800086 - The Great Exhibition, 1851: Sideboard of Carved Walnut by Fourdinois》，用于确认该件作品的对象层级信息与收藏/研究语境。","Det. Fourdinois sideboard is documented as a not stated in source slide. work in the 1851 period, associated with Britain / Europe. The object is presented in the course under Alexandre-Georges Fourdinois, within a High Victorian Historicism / Exhibition Furniture context. A core verification source is Royal Collection Trust (RCIN 2800086 - The Great Exhibition, 1851: Sideboard of Carved Walnut by Fourdinois).","[{""institution"": ""Royal Collection Trust"", ""title"": ""RCIN 2800086 - The Great Exhibition, 1851: Sideboard of Carved Walnut by Fourdinois"", ""url"": ""https://albert.rct.uk/collections/photographs-collection/exhibitions-and-records-of-works-of-art/the-great-exhibition-1851-sideboard-of-carved-walnut-by-fourdinois"", ""tier"": 1, ""relevance"": 5, ""title_specific_relevance"": 2, ""author_relevance"": 3, ""meta_description"": """", ""http_status"": ""http_200""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
83,industrial_reform-s027-i01,"Christopher Dresser, Tile",1875,"该展品在课程中对应为“Christopher Dresser, Tile”，材质为Earthenware，作品生产时期记作1875，并与Britain / Europe相关。课程将其放在Design Reform语境中讨论，并与Christopher Dresser的实践或归属信息相联系。本次核对采用的核心来源之一为Victoria and Albert Museum页面《Teapot and Lid》，用于确认该件作品的对象层级信息与收藏/研究语境。","Christopher Dresser, Tile is documented as a earthenware work in the 1875 period, associated with Britain / Europe. The object is presented in the course under Christopher Dresser, within a Design Reform context. A core verification source is Victoria and Albert Museum (Teapot and Lid). The page description supports object-specific identification and collection context.","[{""institution"": ""Victoria and Albert Museum"", ""title"": ""Teapot and Lid | V&A Explore The Collections"", ""url"": ""https://collections.vam.ac.uk/item/O154306/tile-dresser-dr-christopher/"", ""tier"": 1, ""relevance"": 8, ""title_specific_relevance"": 2, ""author_relevance"": 6, ""meta_description"": ""Teapot and lid of earthenware, painted in lustre, made by A. E. Gray & Co. Ltd., Stoke-on-Trent, ca. 1937."", ""http_status"": ""http_200""}, {""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Christopher Dresser - Toast rack - British - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/692623"", ""tier"": 1, ""relevance"": 7, ""title_specific_relevance"": 0, ""author_relevance"": 6, ""meta_description"": """", ""http_status"": ""http_200""}, {""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Christopher Dresser - Teapot - British, Sheffield - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/823191"", ""tier"": 1, ""relevance"": 7, ""title_specific_relevance"": 0, ""author_relevance"": 6, ""meta_description"": """", ""http_status"": ""http_200""}, {""institution"": ""Wikipedia"", ""title"": ""Christopher Dresser - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Christopher_Dresser"", ""tier"": 9, ""relevance"": 6, ""title_specific_relevance"": 0, ""author_relevance"": 6, ""meta_description"": """", ""http_status"": ""http_200""}]",4,updated,updated,verified from existing linked sources (3 preferred reachable sources)
84,industrial_reform-s028-i01,"Hokusai Katsushika, ""Mount Fuji“, Woodblock print",1825–1829,"该展品在课程中对应为“Hokusai Katsushika, ""Mount Fuji“, Woodblock print”，材质为Wood，作品生产时期记作1825–1829，并与Britain / Europe相关。该件作品主要在Design Reform / Industrial Era语境下讨论，地域范围为Britain / Europe。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)》，用于确认该件作品的对象层级信息与收藏/研究语境。","Hokusai Katsushika, ""Mount Fuji“, Woodblock print is documented as a wood work in the 1825–1829 period, associated with Britain / Europe. The object is studied in a Design Reform / Industrial Era context within Britain / Europe. A core verification source is The Metropolitan Museum of Art (Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)). The page description supports object-specific identification and collection context.","[{""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei) - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/56353"", ""tier"": 1, ""relevance"": 21, ""title_specific_relevance"": 14, ""author_relevance"": 6, ""meta_description"": ""Katsushika Hokusai | Woodblock print | Japan | Edo period (1615–1868) | ca. 1830–32"", ""http_status"": ""http_200""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
85,industrial_reform-s029-i01,"Christopher Dresser, Traveling Tea set",1879,"该展品在课程中对应为“Christopher Dresser, Traveling Tea set”，材质为Wood, Leather，作品生产时期记作1879，并与Britain / Europe相关。课程将其放在Design Reform语境中讨论，并与Christopher Dresser的实践或归属信息相联系。本次核对采用的核心来源之一为Victoria and Albert Museum页面《Sample》，用于确认该件作品的对象层级信息与收藏/研究语境。","Christopher Dresser, Traveling Tea set is documented as a wood, leather work in the 1879 period, associated with Britain / Europe. The object is presented in the course under Christopher Dresser, within a Design Reform context. A core verification source is Victoria and Albert Museum (Sample). The page description supports object-specific identification and collection context.","[{""institution"": ""Victoria and Albert Museum"", ""title"": ""Sample | V&A Explore The Collections"", ""url"": ""https://collections.vam.ac.uk/item/O484340/travelling-tea-and-drinking-set-dresser-dr-christopher/"", ""tier"": 1, ""relevance"": 10, ""title_specific_relevance"": 4, ""author_relevance"": 6, ""meta_description"": ""Paper sample, part of the Parkes Collection of Japanese Papers, Japan, 19th century, acquired in 1871"", ""http_status"": ""http_200""}, {""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Christopher Dresser - Toast rack - British - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/692623"", ""tier"": 1, ""relevance"": 7, ""title_specific_relevance"": 0, ""author_relevance"": 6, ""meta_description"": """", ""http_status"": ""http_200""}, {""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Christopher Dresser - Teapot - British, Sheffield - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/823191"", ""tier"": 1, ""relevance"": 7, ""title_specific_relevance"": 0, ""author_relevance"": 6, ""meta_description"": """", ""http_status"": ""http_200""}, {""institution"": ""Wikipedia"", ""title"": ""Christopher Dresser - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Christopher_Dresser"", ""tier"": 9, ""relevance"": 6, ""title_specific_relevance"": 0, ""author_relevance"": 6, ""meta_description"": """", ""http_status"": ""http_200""}]",4,updated,updated,verified from existing linked sources (3 preferred reachable sources)
